,LON,LAT,도로명
412,127.1419612,37.53333359,서울 강동구 천호대로186길 7
413,127.1419635,37.533348,서울 강동구 천호대로186길 7
414,129.0353391,35.10131808,부산 중구 중앙대로41번길 10
415,129.0345748,35.10497886,부산 중구 동광길 49
416,129.0310908,35.10422264,부산 중구 대청로99번길 14-1
417,129.0246547,35.10620839,부산 중구 보수대로140번길 61
418,129.0265388,35.10036612,부산 중구 중구로29번길 23
419,129.030393,35.09996277,부산 중구 광복로55번길 10
420,129.0316806,35.09741429,부산 중구 자갈치로 68-1
421,129.0350301,35.11111722,부산 중구 대영로224번길 10
422,129.031817,35.11156405,부산 중구 동영로 71-2
423,129.0202185,35.10961588,부산 서구 구덕로280번길 32
424,129.0232229,35.11296589,부산 서구 보동길275번길 9
425,129.0172577,35.11442431,부산 서구 대영로73번길 92
426,129.0144443,35.11107368,부산 서구 구덕로315번길 49
427,129.0119393,35.11347458,부산 서구 대신로 27
428,129.0117787,35.11925559,부산 서구 꽃마을로 58
429,129.0184217,35.10381611,부산 서구 임시수도기념로 22-11
430,129.0154024,35.10019135,부산 서구 해돋이로269번길 17
431,129.0202899,35.09598078,부산 서구 초장로27번길 32
432,129.0215856,35.09800845,부산 서구 구덕로148번길 16
433,129.0233131,35.09274919,부산 서구 충무대로255번길 5-26
434,129.0205431,35.08446851,부산 서구 천마로 87
435,129.0209682,35.07992309,부산 서구 충무대로 83
436,129.0350301,35.11111722,부산 중구 대영로224번길 10
437,129.0384902,35.11653458,부산 동구 중앙대로209번길 30
438,129.0422567,35.12541798,부산 동구 홍곡로 71
439,129.0406844,35.12710983,부산 동구 망양로685번길 2
440,129.049126,35.13139929,부산 동구 좌천남로 19
441,129.0491003,35.14131437,부산 동구 범상로 12
442,129.0491003,35.14131437,부산 동구 범상로 12
443,129.0491003,35.14131437,부산 동구 범상로 12
444,129.0316806,35.09741429,부산 중구 자갈치로 68-1
445,129.0483031,35.08880767,부산 영도구 중복길 458
446,129.0483031,35.08880767,부산 영도구 중복길 458
447,129.0483031,35.08880767,부산 영도구 중복길 458
448,129.0483031,35.08880767,부산 영도구 중복길 458
449,129.0483031,35.08880767,부산 영도구 중복길 458
450,129.0657393,35.09191458,부산 영도구 태종로 394
451,129.0686483,35.08467363,부산 영도구 상리로 39
452,129.0686483,35.08467363,부산 영도구 상리로 39
453,129.0630057,35.16351367,부산 부산진구 범전로5번길 13
454,129.0567916,35.15258915,부산 부산진구 부전로20번길 13
455,129.05284,35.17278456,부산 부산진구 국악로 30
456,129.0472783,35.18137849,부산 부산진구 새싹로 284
457,129.0687244,35.17214294,부산 부산진구 동평로406번길 38
458,129.0757233,35.17288466,부산 부산진구 양정로15번길 26
459,129.0674009,35.15437304,부산 부산진구 서전로68번길 75
